geocode,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80plus
E02006677,784,896,558,645,1133,1172,1246,402,956
E02006678,954,980,794,917,1124,851,896,329,499
E02006679,1064,1316,845,977,1564,1425,1288,457,808
E02006680,825,890,735,876,1078,925,817,355,832
E02006681,576,706,300,532,898,871,957,324,772
E02006682,994,1009,703,948,1343,1329,1384,556,1136
E02006683,1057,985,730,1080,1305,1003,830,278,497
E02006684,716,669,1080,862,877,742,548,217,455
E02006685,1016,864,859,1069,1111,836,888,302,754
E02006686,597,868,560,543,838,671,658,241,505
E02006687,1010,997,944,1052,1138,903,694,203,348
E02006688,700,661,736,812,847,658,600,243,412
E02006689,706,725,470,648,925,880,1059,337,517
E02006690,727,743,512,620,1018,1025,1079,375,617
E02006691,1868,1776,1668,1818,2151,1487,1300,471,951
E02006692,810,668,728,762,776,578,564,212,599
E02006693,625,685,584,676,882,794,775,227,480
E02006694,530,815,670,635,836,781,794,311,693
E02006695,572,695,425,501,1030,993,1086,357,679
E02006847,1861,963,1426,2298,1545,663,382,59,60
E02006848,1259,592,1535,1723,910,424,209,57,80
E02006849,1569,1166,993,1874,1797,865,528,106,130
E02006886,1476,1187,815,1432,1931,1399,1430,468,885
E02006887,707,684,2312,1236,597,444,337,107,210
E02006888,1397,910,1089,1318,876,506,304,157,267
E02006889,1692,975,1203,1209,871,519,413,160,305
E02006890,1484,1058,1437,1787,1213,687,385,188,329
W02000344,693,976,587,680,1291,1181,1140,407,610
W02000345,847,961,988,862,1146,1064,1037,418,841
