geocode,asian,black,mixed,other,white
E01005709,28,47,26,5,1285
E01005710,21,17,20,0,1451
E01005711,51,1,17,8,1428
E01005712,30,20,20,8,1542
E01005713,16,9,14,5,1371
E01005714,21,14,11,1,1391
E01005715,34,9,23,6,1580
E01005716,69,16,37,16,1632
E01005717,152,4,26,12,1374
E01005718,26,7,26,3,1618
E01005719,168,82,38,25,1428
E01005720,121,136,64,23,2040
E01005721,35,37,17,4,1343
E01005722,128,69,46,21,1514
E01005723,56,61,34,3,1315
E01005724,75,6,13,16,1369
E01005725,39,41,36,18,1244
E01005726,15,10,29,6,1440
E01005727,33,19,31,13,1241
E01005728,17,3,11,1,1321
E01005729,37,55,43,8,1165
E01005730,32,18,26,2,1568
E01005731,29,60,37,2,1466
E01005732,19,13,11,4,1095
E01005733,31,4,12,4,1319
E01005734,30,10,21,1,1295
E01005735,21,6,34,5,1327
E01005736,12,5,19,1,1383
E01005737,77,5,25,5,1395
E01005738,54,0,24,8,1680
E01005739,88,4,24,4,1411
E01005740,35,1,31,9,1480
E01005741,56,9,28,3,1546
E01005742,21,5,20,3,1538
E01005743,11,1,13,1,1327
E01005750,19,0,21,0,1657
E01005751,16,2,8,0,1288
E01005753,35,19,52,3,1562
E01005754,37,30,22,2,1700
E01005755,20,25,36,8,1546
E01005756,34,21,29,5,1500
E01005757,61,20,30,3,1493
E01005758,56,22,43,7,1723
E01005759,64,23,50,2,1540
E01005760,166,24,65,12,1590
E01005761,110,19,37,5,1233
E01005762,52,16,24,2,1494
E01005763,122,20,55,4,1495
E01005764,25,4,27,2,1584
E01005765,19,3,19,2,1350
E01005766,200,20,24,10,1198
E01005767,302,13,38,39,1100
E01005768,261,14,34,31,1292
E01005769,51,9,41,16,1218
E01005770,132,6,27,23,1241
E01005771,115,19,33,32,1184
E01005772,303,4,38,50,1071
E01005773,178,4,32,22,1287
E01005774,89,6,16,9,1280
E01005775,144,12,36,22,1352
E01005776,382,15,37,65,1072
E01005777,98,17,36,5,1330
E01005778,33,12,37,7,1380
E01005779,39,15,36,11,1318
E01005780,109,16,24,10,1307
E01005781,63,20,49,7,1394
E01005782,54,16,21,4,1123
E01005783,80,0,26,21,1414
E01005784,180,21,21,27,1178
E01005785,56,5,22,11,1441
E01005786,84,6,15,15,1469
E01005787,78,4,18,8,1191
E01005788,88,10,25,18,1387
E01005789,64,8,28,13,1447
E01005790,133,14,21,17,1038
E01005791,38,2,18,6,1479
E01005792,39,5,17,15,1388
E01005793,76,6,14,15,1312
E01005794,59,4,39,1,1138
E01005795,36,1,8,7,1240
E01005796,64,10,24,21,1141
E01005797,26,13,23,1,1307
E01005798,55,19,45,9,1459
E01005799,111,25,57,4,1607
E01005800,52,11,26,4,1534
E01005801,75,11,22,12,1377
E01005802,12,8,27,14,1474
E01005803,32,2,27,1,1426
E01005804,26,5,23,4,1143
E01005805,15,7,17,1,1533
E01005806,23,2,18,0,1172
E01005807,46,2,15,9,1504
E01005808,78,11,23,9,1245
E01005809,112,6,31,9,1105
E01005810,102,4,33,16,1418
E01005811,52,4,14,11,1321
E01005812,115,10,14,16,1134
E01005813,69,6,14,15,1337
E01005814,33,2,15,7,1272
E01005815,23,6,13,4,1424
E01005816,69,12,47,3,1469
E01005817,88,17,24,2,1214
E01005818,75,12,26,0,1309
E01005819,75,14,31,14,1413
E01005820,42,7,18,2,1386
E01005821,64,4,20,4,1397
E01005822,72,20,33,1,1381
E01005823,48,15,25,8,1536
E01005824,15,10,19,2,1428
E01005825,44,5,32,3,1432
E01005826,26,13,22,5,1384
E01005827,29,4,11,8,1354
E01005828,15,14,19,3,1237
E01005829,20,17,21,2,1223
E01005830,60,8,29,5,1374
E01005831,93,3,25,5,1420
E01005832,31,1,23,12,1405
E01005833,54,2,8,5,977
E01005834,50,13,16,17,1409
E01005836,51,1,20,2,1763
E01005838,52,18,30,6,1601
E01005840,48,15,25,10,1434
E01005844,409,11,29,14,1027
E01005845,303,13,32,10,1263
E01005846,312,12,33,38,1264
E01005847,175,14,20,19,1325
E01005848,288,22,29,30,1470
E01005849,170,2,23,5,1371
E01005850,169,7,45,5,1533
E01005851,332,6,13,16,1157
E01005852,329,13,39,40,1131
E01005853,188,25,51,14,1292
E01005854,40,13,56,6,1511
E01005855,189,5,29,12,1269
E01005856,192,22,62,14,1329
E01005857,607,21,58,61,802
E01005858,70,8,33,19,1445
E01005859,47,11,30,1,1370
E01005860,62,12,36,11,1367
E01005861,30,13,24,4,1477
E01005862,56,18,49,9,1429
E01005863,56,19,31,4,1634
E01005864,44,10,38,13,1376
E01005865,124,7,32,29,1279
E01005866,164,30,40,12,1467
E01005867,62,2,26,9,1359
E01005868,249,10,46,20,1173
E01005869,153,30,23,10,1292
E01005870,17,6,24,0,1352
E01005871,7,0,23,3,1304
E01005872,27,12,27,9,1637
E01005873,5,4,17,4,1459
E01005874,35,18,45,2,1572
E01005875,13,4,14,2,1526
E01005876,42,0,17,2,1420
E01005877,42,9,15,5,1331
E01005886,47,25,47,1,1376
E01005887,58,33,41,14,1352
E01005888,30,16,31,3,1442
E01005889,21,14,28,2,1407
E01005890,76,48,52,14,1288
E01005891,9,10,28,1,1245
E01005892,15,15,21,8,1252
E01005893,21,8,43,5,1620
E01005894,26,14,30,1,1334
E01005895,13,3,23,0,1111
E01005896,29,26,56,9,1546
E01005914,37,11,28,7,1343
E01005915,12,8,30,1,1438
E01005916,70,9,42,10,1434
E01005917,105,43,46,11,1414
E01005918,43,37,45,8,1378
E01005919,75,10,52,10,1455
E01005920,59,26,41,9,1427
E01005921,37,7,32,4,1312
E01005922,59,9,24,1,1313
E01005923,49,3,17,2,1478
E01005924,32,1,26,2,1282
E01005925,54,2,12,3,1347
E01005926,29,0,7,4,1225
E01005927,87,9,36,11,1209
E01005928,66,19,45,18,1424
E01005929,88,14,19,15,1240
E01005930,81,4,19,8,1448
E01005931,27,5,13,8,1392
E01005932,70,11,31,1,1272
E01005951,157,31,33,2,1362
E01005953,587,37,32,6,1381
E01005956,181,7,17,1,1216
E01005958,63,9,28,1,1355
E01005961,63,16,19,10,1315
E01005962,111,8,15,1,1322
E01005963,30,6,16,0,1170
E01005964,24,11,31,3,1469
E01005965,18,14,21,1,1376
E01005966,36,13,32,0,1274
E01005967,42,37,29,0,1273
E01005968,30,5,13,1,1397
E01005969,102,0,7,0,1272
E01005971,41,14,20,2,1329
E01005972,44,17,43,8,1568
E01005975,67,15,17,0,1463
E01005982,15,22,30,3,1277
E01005985,17,8,32,0,1476
E01005986,19,9,16,0,1202
E01005987,30,7,13,2,1495
E01005988,45,6,20,4,1526
E01005989,4,6,14,0,1196
E01005990,13,10,25,4,1292
E01005991,35,13,34,5,1379
E01005992,38,11,40,0,1228
E01005993,41,15,18,1,1336
E01005994,17,17,36,1,1378
E01005995,72,5,16,1,1327
E01005996,73,15,45,3,1803
E01005997,14,8,13,0,1424
E01005998,47,43,41,3,1569
E01005999,83,66,44,9,1655
E01006000,46,21,28,2,1446
E01006001,28,25,33,7,1466
E01006002,14,3,18,2,1331
E01006003,60,19,17,1,1353
E01006004,22,14,22,1,1485
E01006005,4,20,21,3,1303
E01006006,25,14,13,1,1419
E01006007,16,5,15,1,1471
E01006074,69,5,27,6,1467
E01006075,109,16,31,9,1775
E01006076,82,15,29,17,1480
E01006077,40,14,35,10,1492
E01006078,46,20,50,20,1715
E01006079,154,11,43,23,1764
E01006080,62,15,40,1,1690
E01006081,107,4,35,24,1221
E01006082,89,9,38,6,1465
E01006083,40,0,35,5,1317
E01006084,41,11,24,6,1626
E01006085,61,7,27,7,1472
E01006086,79,10,27,7,1545
E01006087,105,6,37,22,1343
E01006088,18,6,34,6,1511
E01006089,77,16,44,9,1351
E01006090,49,14,37,6,1858
E01006091,319,23,71,16,1858
E01006092,50,13,53,5,1234
E01006093,68,3,24,5,1496
E01006094,111,19,25,13,1318
E01006095,127,36,43,14,1409
E01006096,75,14,6,10,1427
E01006097,156,36,54,15,1507
E01006098,77,5,18,4,1185
E01006099,51,6,25,34,1236
E01006100,85,11,28,12,1381
E01006101,113,14,20,10,1365
E01006102,62,25,34,16,1231
E01006103,103,11,38,22,1444
E01006104,17,14,25,3,1630
E01006105,25,34,59,1,1814
E01006106,12,21,35,1,1416
E01006107,25,22,29,8,1534
E01006108,16,80,54,3,1517
E01006109,291,427,115,69,546
E01006110,668,313,104,66,624
E01006111,659,340,118,84,519
E01006112,789,343,95,35,451
E01006113,855,169,72,44,384
E01006114,703,171,99,43,646
E01006115,536,259,87,59,643
E01006116,25,12,15,0,1298
E01006117,46,22,35,5,1564
E01006118,39,11,32,0,1371
E01006119,63,51,32,14,1448
E01006120,23,2,16,7,1382
E01006121,46,25,34,4,1440
E01006122,24,22,16,5,1486
E01006123,67,18,26,8,1576
E01006124,22,4,18,2,1427
E01006125,20,26,19,5,1414
E01006126,19,18,32,1,1595
E01006127,30,6,26,0,1554
E01006128,39,18,24,5,1681
E01006129,26,27,22,0,1292
E01006130,27,11,18,0,1721
E01006131,27,4,35,1,1499
E01006132,18,8,21,13,1506
E01006133,11,1,7,0,1435
E01006134,168,3,23,18,1315
E01006135,163,15,39,27,1392
E01006136,218,11,35,16,1271
E01006137,354,11,39,51,978
E01006138,188,7,40,59,1453
E01006139,79,13,30,4,1591
E01006140,114,4,61,5,1501
E01006141,346,150,76,32,1000
E01006142,220,98,61,33,1247
E01006143,254,49,34,8,1314
E01006144,75,89,61,10,1209
E01006145,464,167,89,48,1029
E01006146,551,207,104,31,1001
E01006147,34,11,19,4,1347
E01006148,67,22,22,29,1492
E01006149,37,6,26,3,1413
E01006150,41,21,31,3,1446
E01006151,136,7,16,19,1330
E01006152,205,29,23,44,1335
E01006153,129,37,37,45,1320
E01006154,67,9,41,8,1376
E01006155,40,33,38,3,1492
E01006156,68,106,61,12,1346
E01006157,205,93,56,22,1181
E01006158,159,81,51,6,1351
E01006159,169,71,68,13,1483
E01006160,177,28,42,17,1489
E01006161,178,26,47,3,1704
E01006162,85,11,16,12,1491
E01006163,70,9,54,9,1646
E01006164,55,9,19,0,1567
E01006165,125,9,60,7,1717
E01006166,56,18,31,42,1420
E01006167,84,60,88,19,1382
E01006168,56,99,110,15,1639
E01006169,24,13,18,13,1566
E01006170,16,20,25,5,1484
E01006171,73,8,64,19,1632
E01006172,55,18,16,5,1436
E01006173,62,24,9,7,1414
E01006174,91,10,26,5,1606
E01006175,53,18,35,27,1480
E01006176,61,29,32,44,1623
E01006177,64,28,56,8,1489
E01006178,83,20,40,33,1645
E01006179,90,80,58,11,1493
E01006180,148,69,73,14,1534
E01006181,272,81,76,16,1221
E01006182,184,93,48,11,1196
E01006183,234,77,57,28,1254
E01006184,123,56,51,21,1425
E01006185,370,384,103,60,1051
E01006186,253,196,130,29,1295
E01006187,192,195,164,34,1950
E01006188,652,150,80,76,595
E01006189,238,127,147,23,1700
E01006190,54,3,20,2,1614
E01006191,48,16,21,1,1572
E01006192,40,4,19,8,1463
E01006193,51,9,33,3,1423
E01006194,199,18,70,15,2031
E01006195,57,15,20,13,1666
E01006196,46,8,14,6,1710
E01006197,81,19,49,0,1381
E01006198,44,22,22,2,1464
E01006199,24,22,35,1,1488
E01006200,33,16,30,8,1358
E01006201,47,18,59,3,1368
E01006202,39,32,37,6,1244
E01006203,12,5,23,4,1371
E01006204,100,14,24,24,1448
E01006205,71,4,26,1,1286
E01006206,133,35,52,13,1651
E01006207,47,31,36,21,1482
E01006208,62,29,61,18,1457
E01006209,54,14,13,15,1481
E01006210,140,15,38,18,1445
E01006211,23,2,21,6,1478
E01006250,15,4,15,2,1496
E01006251,13,2,20,8,1419
E01006377,17,12,9,2,1584
E01006378,3,13,15,3,1300
E01006379,15,10,35,4,1487
E01006380,20,5,20,4,1606
E01006382,17,3,10,1,1379
E01006383,17,3,17,9,1614
E01006384,8,1,6,0,1379
E01006385,23,8,34,2,1422
E01012517,43,8,32,10,2123
E01012518,10,8,29,1,1955
E01018582,115,10,38,12,1578
E01018583,140,16,49,17,1600
E01018584,172,20,37,31,1625
E01018592,87,20,23,21,1563
E01018593,84,10,34,22,1524
E01018594,50,12,22,7,1571
E01018595,51,13,25,6,1425
E01018596,108,14,45,21,1730
E01018599,14,2,13,4,1112
E01018612,21,14,27,1,1143
E01018613,35,14,15,7,1412
E01018648,44,5,38,9,2076
E01018651,72,21,28,14,1447
E01018655,15,2,8,0,1489
E01018656,24,1,7,0,1519
E01018657,6,1,9,4,1084
E01018658,22,3,11,0,1260
E01018659,10,0,6,8,1224
E01018662,16,2,13,0,1159
E01018663,27,0,1,1,1500
E01018664,30,1,10,11,1410
E01018665,3,0,7,3,1104
E01032684,291,172,52,35,1259
E01032685,231,73,44,59,1087
E01032686,153,48,38,32,1125
E01032687,125,48,44,31,1037
E01032906,65,88,46,43,1001
E01032907,121,46,26,37,955
E01032909,172,12,35,54,1052
E01032911,113,53,47,25,916
E01032912,84,74,36,10,1277
E01032914,160,82,48,28,1284
E01032915,109,103,54,21,1260
E01032917,82,64,24,17,869
E01032919,265,278,125,85,2915
E01032921,1937,84,57,17,483
E01033330,49,121,50,16,1160
E01033651,169,29,38,56,860
E01033652,493,166,82,60,817
E01033653,438,24,55,40,1113
E01033654,624,102,86,88,2056
E01033655,215,28,32,31,891
E01033656,976,118,161,164,2071
E01033657,494,221,60,32,750
E01033658,161,29,61,51,1001
E01033659,108,16,27,35,1150
E01033660,61,21,26,12,1048
E01033661,104,25,33,32,961
E01033662,211,24,49,132,919
E01033663,112,50,46,47,928
E01033664,104,31,34,22,928
E01033665,128,49,44,27,964
E01033666,118,397,85,32,2032
E01033667,73,22,28,30,853
E01033668,139,135,54,32,776
E01033669,86,194,88,7,1022
E01033670,131,19,41,68,993
E01033671,103,29,65,42,1470
E01033672,137,233,118,64,739
E01033673,74,21,29,18,959
E01033674,356,175,130,98,1447
E01033675,447,463,147,68,939
E01033676,418,188,63,92,907
E01033677,261,30,44,127,708
E01033678,175,253,79,29,1038
E01033679,97,227,85,22,978
E01033680,125,149,68,84,785
E01033681,140,8,29,65,1131
E01033682,98,9,37,20,1097
E01033683,233,28,41,76,881
E01033684,106,29,46,31,991
E01033685,179,172,45,16,1149
E01033686,191,167,94,95,718
E01033687,98,62,65,37,1155
E01033688,196,208,82,23,996
