geocode,asian,black,mixed,other,white
E00109673,7,0,9,2,287
E00109674,27,17,7,0,309
E00109675,7,6,4,0,240
E00109676,32,21,9,0,367
E00109677,38,6,6,1,283
E00109678,12,7,1,0,269
E00109679,13,11,3,1,288
E00109680,15,1,5,2,309
E00109681,14,2,4,1,259
E00109682,12,2,8,0,241
E00109683,6,1,1,0,194
E00109684,17,3,2,3,284
E00109685,1,7,6,7,304
E00109686,15,16,6,3,303
E00109687,8,3,5,1,297
E00109688,2,0,1,0,239
E00109689,8,4,1,0,285
E00109690,2,0,5,0,301
E00109692,3,5,4,0,436
E00109693,7,5,8,1,240
E00109694,2,0,2,0,278
E00109696,1,7,6,0,323
E00109697,5,6,6,1,413
E00109698,0,0,0,5,291
E00109699,2,2,1,1,268
E00109700,9,1,3,0,299
E00109701,21,4,2,1,205
E00109702,0,0,0,0,292
E00109703,0,0,2,0,280
E00109704,1,0,0,1,227
E00109705,6,0,4,0,371
E00109706,2,1,4,0,320
E00109707,5,0,4,0,208
E00109708,8,11,12,1,266
E00109709,1,9,4,0,265
E00109710,7,6,6,0,354
E00109711,3,7,2,1,296
E00109712,14,24,4,4,256
E00109713,6,5,4,3,286
E00109714,1,3,9,0,310
E00109715,2,1,1,1,241
E00109716,14,2,4,0,257
E00109717,28,11,7,1,284
E00109718,25,1,8,1,244
E00109719,10,14,7,0,301
E00109720,28,5,7,0,257
E00109721,10,0,2,1,307
E00109722,5,12,5,0,209
E00109723,9,5,14,0,299
E00109724,18,25,14,2,226
E00109725,4,10,7,5,305
E00109726,15,7,3,0,271
E00109727,14,8,4,0,274
E00109728,14,2,10,1,335
E00109729,18,6,9,0,295
E00109730,13,2,5,3,421
E00109731,15,1,10,5,423
E00109732,8,1,7,4,208
E00109733,15,0,1,6,361
E00109734,13,0,11,0,316
E00109735,9,0,2,0,274
E00109736,3,1,4,0,239
E00109737,1,1,2,1,275
E00109738,4,3,7,1,305
E00109739,0,0,1,1,356
E00109740,3,0,4,0,336
E00109741,1,1,0,0,388
E00109742,1,0,3,0,341
E00109743,7,0,6,0,376
E00109744,0,0,1,1,314
E00109745,0,1,10,0,477
E00109746,7,1,6,0,294
E00109747,0,0,0,0,251
E00109748,4,0,2,0,241
E00109749,0,5,0,0,335
E00109750,0,0,0,0,340
E00109751,0,0,1,0,269
E00109752,8,0,6,1,329
E00109753,1,0,6,1,403
E00109754,6,0,5,1,531
E00109756,5,1,5,0,352
E00109757,0,0,1,0,308
E00109758,8,0,0,0,243
E00109759,0,0,1,1,323
E00109760,6,3,5,2,320
E00109761,7,2,6,1,313
E00109762,0,12,0,0,254
E00109763,5,0,5,0,276
E00109764,3,0,1,0,296
E00109765,5,10,0,1,362
E00109766,9,3,11,0,264
E00109767,7,1,6,0,339
E00109768,3,1,6,0,221
E00109769,4,4,4,0,255
E00109770,0,0,2,0,285
E00109771,3,0,0,1,111
E00109772,0,0,4,0,209
E00109773,2,4,5,3,249
E00109774,6,2,5,0,352
E00109775,2,0,1,0,267
E00109776,8,0,1,1,252
E00109777,6,0,4,0,296
E00109778,16,1,4,0,316
E00109779,2,6,5,0,279
E00109780,0,0,4,0,306
E00109781,3,0,0,0,310
E00109783,4,3,2,1,318
E00109784,2,4,0,1,298
E00109785,1,0,2,1,284
E00109786,4,5,1,0,251
E00109787,6,0,2,6,395
E00109788,4,0,7,1,338
E00109789,10,0,4,0,337
E00109790,3,1,6,2,295
E00109791,13,0,6,2,336
E00109792,3,5,1,0,328
E00109793,2,0,3,1,385
E00109794,10,0,12,2,289
E00109795,4,0,1,0,371
E00109796,3,2,4,0,329
E00109797,6,0,3,0,317
E00109798,11,1,0,0,295
E00109799,0,0,3,0,232
E00109800,0,0,0,0,359
E00109801,7,1,4,0,250
E00109802,1,0,0,1,267
E00109803,4,0,1,1,268
E00109804,8,1,13,8,315
E00109805,17,2,8,0,472
E00109806,13,14,7,2,318
E00109807,7,0,2,0,313
E00109808,16,2,7,0,284
E00109809,5,6,13,1,229
E00109810,5,11,1,4,342
E00109811,13,11,13,1,234
E00109812,5,1,4,1,264
E00109813,12,5,15,0,232
E00109814,5,0,0,0,274
E00109815,3,1,2,0,296
E00109816,10,0,1,1,336
E00109817,18,8,8,0,252
E00109818,4,4,2,1,148
E00109819,8,1,3,2,305
E00109820,12,5,4,1,292
E00109821,10,8,5,0,177
E00109822,15,6,3,3,370
E00109823,17,4,5,0,233
E00109824,12,4,4,0,216
E00109825,23,4,5,0,318
E00109826,9,8,4,1,414
E00109827,5,0,5,0,127
E00109828,27,0,0,1,328
E00109829,10,1,1,0,355
E00109830,13,5,3,0,254
E00109831,4,4,2,0,331
E00109832,7,6,0,0,176
E00109833,10,14,3,0,270
E00109834,18,4,4,3,318
E00109835,11,0,4,1,273
E00109836,5,1,0,2,293
