geocode,asian,black,mixed,other,white
E02006693,54,20,47,11,5596
E02006694,117,30,56,4,5858
E02006695,23,16,38,4,6257
E02006847,263,120,205,49,8620
E02006848,308,172,163,26,6120
E02006849,451,124,215,29,8209
E02006886,171,35,96,49,10672
E02006887,520,1167,452,137,4358
E02006888,1270,2476,463,190,2425
E02006889,859,3120,428,219,2721
E02006890,1672,1833,656,229,4178
W02000344,53,6,46,3,7457
W02000345,84,4,43,4,8029
