geocode,bicycle,bus,car_van,foot,home,moto,other,taxi,train_metro
E01016438,20,87,332,80,12,5,0,1,10
E01016439,21,124,469,51,27,10,4,3,31
E01016440,20,97,454,57,20,10,9,3,16
E01016441,22,110,352,62,12,2,2,8,13
E01016442,36,177,879,200,42,10,7,4,116
E01016443,36,63,367,104,13,1,4,0,20
E01016525,19,10,504,98,98,3,3,5,147
E01016526,20,13,643,76,97,9,0,0,143
E01016527,18,9,594,89,65,6,5,2,101
E01016528,19,14,496,103,58,7,4,5,117
E01016529,23,15,400,162,40,3,7,2,78
E01016530,18,9,519,32,51,2,0,1,48
E01016531,3,4,418,46,135,3,8,1,87
E01016532,15,3,665,87,137,4,4,5,136
E01016533,13,6,607,53,167,4,10,0,138
E01016534,7,1,563,43,100,2,7,0,68
E01016535,14,10,450,72,35,3,2,4,54
E01016536,23,25,553,186,62,12,5,6,190
E01016537,24,10,427,125,44,5,3,12,86
E01016538,28,4,584,99,52,3,8,2,100
E01016539,11,6,529,41,117,7,8,3,71
E01016541,17,8,635,16,55,4,8,1,34
E01016542,18,5,462,23,50,6,2,1,31
E01016543,8,5,598,35,146,7,5,0,57
E01016559,4,5,578,32,70,2,3,3,58
E01016560,19,26,526,50,31,8,3,9,36
E01016561,17,20,788,53,68,15,7,5,63
E01016562,11,5,596,32,63,6,3,2,45
E01016563,9,21,594,42,43,8,5,3,52
E01016570,10,7,617,44,72,7,4,5,52
E01016571,16,8,542,76,73,5,4,3,72
E01016572,14,3,459,33,54,2,2,3,51
E01016573,19,14,464,79,35,4,6,7,37
E01016574,20,5,458,84,31,9,4,14,54
E01016578,7,8,561,50,96,2,9,2,48
E01016579,21,7,576,71,90,4,7,0,54
E01016580,19,32,604,38,31,10,4,3,28
E01016581,7,3,508,32,101,5,5,1,63
E01016582,15,7,477,100,40,6,5,4,65
E01016583,13,11,578,59,89,6,12,3,69
E01016584,27,20,515,155,59,6,7,6,72
E01016585,23,10,606,91,92,7,3,1,87
E01016591,12,5,508,58,120,3,9,0,118
E01016592,9,15,534,105,72,4,5,3,177
E01016593,25,19,561,126,31,3,4,5,63
E01016594,21,18,467,97,23,5,2,6,68
E01016598,10,2,479,36,61,3,7,0,68
E01016599,29,44,525,94,30,8,4,5,49
E01016600,8,7,364,31,64,5,5,1,48
E01016601,20,6,573,66,53,6,3,1,77
E01016602,14,9,552,36,85,2,5,3,57
E01016610,66,31,1114,107,127,11,9,1,58
E01016611,67,13,429,343,46,5,12,1,15
E01016612,16,4,852,33,141,2,9,1,112
E01016613,27,56,456,81,31,3,7,8,41
E01016614,27,47,452,52,40,5,3,8,47
E01016615,44,77,418,68,27,3,7,4,15
E01016616,19,42,457,58,52,4,4,1,16
E01016617,27,36,439,31,27,3,4,1,21
E01016618,40,51,399,42,33,10,7,6,40
E01016619,13,7,608,16,95,3,2,0,74
E01016620,15,14,585,25,67,10,4,0,94
E01016621,27,49,560,64,48,6,6,1,39
E01016622,16,28,484,29,57,4,4,1,36
E01016623,22,32,553,49,41,9,2,5,34
E01016624,19,36,515,39,55,9,1,1,41
E01016625,19,3,515,76,68,5,4,1,102
E01016626,19,8,487,130,57,4,10,2,147
E01016627,20,14,727,73,109,5,6,3,91
E01016628,16,3,570,63,58,2,4,0,61
E01016629,13,11,466,44,66,3,3,1,49
E01016630,13,11,679,36,72,5,2,0,71
E01016631,15,9,535,61,38,5,5,1,75
E01016632,16,10,604,61,74,5,5,2,86
E01016633,13,7,497,38,72,1,4,0,72
E01016634,14,3,513,63,69,5,3,0,77
E01016635,16,14,594,57,67,8,6,0,52
E01016636,9,6,568,20,87,2,6,2,34
E01016637,3,2,395,12,91,3,2,0,36
E01016638,6,6,599,12,73,7,3,0,37
E01016639,9,12,683,38,65,1,5,0,41
E01016640,10,2,546,34,97,4,2,1,47
E01016641,10,2,511,20,88,4,6,2,31
E01016642,10,12,408,35,39,4,2,2,21
E01016643,8,0,600,20,63,3,4,1,63
E01016644,18,69,592,52,52,10,1,3,46
E01016645,15,64,778,57,44,10,6,1,36
E01016646,30,42,756,26,52,5,4,2,32
E01016647,19,53,805,45,60,5,4,1,59
E01016648,26,58,689,50,48,4,6,2,33
E01016649,21,73,663,46,45,8,3,2,36
E01016651,23,70,504,79,44,10,6,1,37
E01016652,17,43,485,51,38,4,4,2,39
E01016653,37,52,469,82,50,3,4,4,34
E01016654,23,66,528,60,52,6,3,0,37
E01016655,17,47,604,36,56,8,5,1,41
E01016656,14,2,543,44,120,7,8,1,53
E01016657,8,10,530,16,87,4,2,1,114
E01016658,16,45,623,24,57,4,2,1,44
E01016659,16,65,653,50,37,6,3,0,32
E01016660,24,54,749,26,51,9,2,1,40
E01016661,20,49,568,39,43,9,1,1,39
E01016662,33,57,588,49,29,8,4,1,28
E01016663,19,48,619,37,50,9,1,0,52
E01016664,37,28,379,52,47,3,0,0,45
E01016665,35,46,644,44,39,9,3,1,58
E01016666,24,35,583,30,68,5,6,3,46
E01016668,41,35,519,42,52,3,2,1,74
E01016669,27,44,617,34,57,9,4,7,106
E01016670,21,11,953,51,93,5,5,3,67
E01016671,9,9,455,79,65,5,9,2,72
E01016672,16,21,705,57,76,4,3,0,59
